,Unnamed: 0,trainName,trainNumber,stationFrom,stationTo,trainRunsOnSun,trainRunsOnMon,trainRunsOnTue,trainRunsOnWed,trainRunsOnThu,trainRunsOnFri,trainRunsOnSat,from_DepartureTime,from_StationName,to_StationName,to_ArrivalTime,dayCount,totalDistance
374,374,HBJ LTT SUP EXP,12154,HBJ,LTT,N,N,N,N,N,Y,N,18:20,HABIBGANJ,LOKMANYATILAK T,07:30,2.0,821.0
375,375,LJN SWRAN SHTBD,12004,NDLS,LJN,Y,Y,Y,Y,Y,Y,Y,06:10,NEW DELHI,LUCKNOW NE,12:40,1.0,511.0
376,376,TRIBENI EXPRESS,14369,SGRL,TPU,N,N,Y,N,Y,N,Y,16:00,SINGRAULI,TANAKPUR,16:25,2.0,844.0
377,377,SHATABDI EXP,12007,MAS,MYS,Y,Y,Y,N,Y,Y,Y,06:00,MGR CHENNAI CTL,MYSURU JN,13:00,1.0,500.0
378,378,JBP AMI SUP EXP,12160,JBP,AMI,Y,Y,Y,Y,Y,Y,Y,20:50,JABALPUR,AMRAVATI,09:50,2.0,726.0
379,379,VSKP SHM SF EXP,22854,VSKP,SHM,N,N,N,Y,N,N,N,17:50,VISAKHAPATNAM,SHALIMAR,09:05,2.0,880.0
380,380,AMARAVATHI EXP,18047,HWH,VSG,N,Y,Y,N,Y,N,Y,23:30,HOWRAH JN,VASCO DA GAMA,15:45,3.0,2160.0
381,381,PURI VALSAD EXP,22910,PURI,BL,Y,N,N,N,N,N,N,06:30,PURI,VALSAD,19:50,2.0,2077.0
382,382,AGTL SCL PASS,55663,AGTL,SCL,Y,Y,Y,Y,Y,Y,Y,10:45,AGARTALA,SILCHAR,20:00,1.0,250.0
383,383,BAGMATI EXPRESS,12578,MYS,DBG,N,N,N,N,N,N,Y,07:20,MYSURU JN,DARBHANGA JN,14:35,3.0,3045.0
384,384,CHAMPARAN HMSFR,15706,DLI,KIR,N,N,Y,N,N,Y,N,13:45,DELHI,KATIHAR JN,19:20,2.0,1474.0
385,385,MEWAR EXPRESS,12964,UDZ,NZM,Y,Y,Y,Y,Y,Y,Y,18:15,UDAIPUR CITY,H NIZAMUDDIN,06:35,2.0,743.0
386,386,AGC KOAA EXP,12320,AGC,KOAA,N,N,N,N,Y,N,N,17:00,AGRA CANTT,KOLKATA,17:20,2.0,1416.0
387,387,KONKAN KANYA EX,10111,CSMT,MAO,Y,Y,Y,Y,Y,Y,Y,23:05,C SHIVAJI MAH T,MADGAON,10:45,2.0,765.0
388,388,BGKT ADI EXPRESS,14803,BGKT,ADI,N,N,N,N,N,Y,N,10:15,BHAGAT KI KOTHI,AHMEDABAD JN,20:00,1.0,480.0
389,389,PUNE AMI EXP,11405,PUNE,AMI,Y,N,N,N,N,Y,N,22:00,PUNE JN,AMRAVATI,15:00,2.0,821.0
390,390,UDZ BDTS SUP,22902,UDZ,BDTS,Y,N,N,Y,N,Y,N,21:00,UDAIPUR CITY,BANDRA TERMINUS,13:30,2.0,945.0
391,391,LOK SHAKTI EXP,22927,BDTS,ADI,Y,Y,Y,Y,Y,Y,Y,19:40,BANDRA TERMINUS,AHMEDABAD JN,04:20,2.0,481.0
392,392,PURI HUMSAFAR EX,19317,INDB,PURI,N,N,Y,N,N,N,N,13:20,INDORE JN BG,PURI,20:05,2.0,1603.0
393,393,CSMT ASR EXPRES,11057,CSMT,ASR,Y,Y,Y,Y,Y,Y,Y,23:30,C SHIVAJI MAH T,DHULE,07:15,2.0,384.0
394,394,SRIJAGANNATH EXP,18410,PURI,HWH,Y,Y,Y,Y,Y,Y,Y,22:25,PURI,HOWRAH JN,08:10,2.0,502.0
395,395,HUSAINSAGAR EXP,12701,CSMT,HYB,Y,Y,Y,Y,Y,Y,Y,21:50,C SHIVAJI MAH T,HYDERABAD DECAN,12:10,2.0,790.0
396,396,GARHWAL EXPRESS,14044,DLI,KTW,Y,Y,Y,Y,Y,Y,Y,07:30,DELHI,KOTDWARA,14:25,1.0,238.0
397,397,VAIGAI EXP,12636,MDU,MS,Y,Y,Y,Y,Y,Y,Y,07:00,MADURAI JN,CHENNAI EGMORE,14:35,1.0,497.0
398,398,KONARK EXPRESS,11020,BBS,CSMT,Y,Y,Y,Y,Y,Y,Y,15:25,BHUBANESWAR,C SHIVAJI MAH T,03:55,3.0,1930.0
399,399,GIMB ASR SPL,09453,GIMB,ASR,N,Y,N,N,N,N,N,18:30,GANDHIDHAM BG,AMRITSAR JN,00:30,3.0,1377.0
400,400,HYB PBN PAS,57563,HYB,PBN,Y,Y,Y,Y,Y,Y,Y,22:40,HYDERABAD DECAN,PARBHANI JN,09:15,2.0,340.0
401,401,LOK NAYAK EXP,15115,CPR,DLI,N,N,N,N,N,N,Y,11:15,CHHAPRA,DELHI,11:20,2.0,1000.0
402,402,SHALIMAR EXP,14646,JAT,DLI,Y,Y,Y,Y,Y,Y,Y,21:00,JAMMU TAWI,DELHI,10:55,2.0,640.0
403,403,ADI DOUBLE DECKR,12931,MMCT,ADI,N,Y,Y,Y,Y,Y,Y,14:20,MUMBAI CENTRAL,AHMEDABAD JN,21:40,1.0,491.0
404,404,DAULADHAR EXP,14035,DEE,PTK,N,Y,N,Y,N,Y,N,23:15,DELHI S ROHILLA,PATHANKOT,08:25,2.0,494.0
405,405,JAT HUMSAFAR SF,22705,TPTY,JAT,N,N,Y,N,N,N,N,17:15,TIRUPATI,JAMMU TAWI,21:10,3.0,2989.0
406,406,SANKALP FAST PAS,59549,BRC,ADI,Y,Y,Y,Y,Y,Y,Y,08:20,VADODARA JN,AHMEDABAD JN,10:40,1.0,100.0
